Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2023-01-31,2023,1,31,Tuesday,05,2023-05,101.16,103.35,101.14,103.13,66527300,0.025658817736008643,97.64857142857144,91.525
2023-02-01,2023,2,1,Wednesday,05,2023-05,102.53,106.24,101.24,105.15,80450100,0.019586971068148662,98.36714285714285,91.73100000000001
2023-02-02,2023,2,2,Thursday,05,2023-05,110.25,114.0,108.88,112.91,158154200,0.07379935352944922,99.62714285714286,92.1064
2023-02-03,2023,2,3,Friday,05,2023-05,105.26,108.78,102.52,103.39,144374800,-0.08431497620839845,100.00357142857142,92.325
2023-02-06,2023,2,6,Monday,06,2023-06,102.93,103.95,100.65,102.18,81945200,-0.011703250716856073,100.44142857142857,92.5046
2023-02-07,2023,2,7,Tuesday,06,2023-06,101.17,102.41,98.08,102.11,119501300,-0.0006850625818668465,100.91642857142858,92.6642
2023-02-08,2023,2,8,Wednesday,06,2023-06,102.04,102.67,98.78,100.05,75878300,-0.02017429777965274,101.37142857142858,92.79699999999998
2023-02-09,2023,2,9,Thursday,06,2023-06,101.32,101.78,97.57,98.24,64622500,-0.01809100582487666,101.44214285714285,92.8828
2023-02-10,2023,2,10,Friday,06,2023-06,97.56,98.82,96.23,97.61,52740100,-0.006412838631079665,101.44857142857143,92.9866
2023-02-13,2023,2,13,Monday,07,2023-07,97.85,99.68,96.91,99.54,52841500,0.019772567289289666,101.67857142857143,93.0466
2023-02-14,2023,2,14,Tuesday,07,2023-07,98.41,100.92,97.52,99.7,56202900,0.0016073541414833858,101.85857142857142,93.1306
2023-02-15,2023,2,15,Wednesday,07,2023-07,99.09,101.17,98.45,101.16,47957600,0.014643999584324163,101.99714285714286,93.2712
2023-02-16,2023,2,16,Thursday,07,2023-07,99.21,100.63,98.1,98.15,56339200,-0.02975486385196624,101.705,93.414
2023-02-17,2023,2,17,Friday,07,2023-07,97.8,97.94,95.65,97.2,60029400,-0.009679109147912035,101.46571428571428,93.59299999999999
2023-02-21,2023,2,21,Tuesday,08,2023-08,95.34,95.61,94.27,94.58,56580400,-0.02695468312187932,100.85499999999999,93.71539999999999
2023-02-22,2023,2,22,Wednesday,08,2023-08,95.1,97.01,94.8,95.79,59534100,0.012793392483054111,100.18642857142858,93.8242
2023-02-23,2023,2,23,Thursday,08,2023-08,96.12,96.43,93.67,95.82,48467000,0.000313172345862478,98.96571428571428,93.9588
2023-02-24,2023,2,24,Friday,08,2023-08,93.53,94.14,92.32,93.5,57053800,-0.024212061179431754,98.25928571428572,94.0178
2023-02-27,2023,2,27,Monday,09,2023-09,94.28,94.78,93.14,93.76,47470300,0.0027807715104863906,97.65785714285714,94.0432
2023-02-28,2023,2,28,Tuesday,09,2023-09,93.14,94.69,92.92,94.23,43959300,0.005012811540044737,97.095,94.09620000000001
2023-03-01,2023,3,1,Wednesday,09,2023-09,93.87,94.68,91.59,92.17,52299500,-0.02186145722806776,96.53214285714286,94.17060000000001
